c,f
300342,1.005129
300343,1.0036339
300344,1.0024751
300345,1.0026025
300346,1.0003712
300347,0.997737
300348,0.99997973
300349,1.0047309
300350,1.0055712
300351,0.9980223
300352,0.9955559
300353,1.0016536
300354,1.0003215
300355,1.0004314
300356,0.9973739
300357,1.0022485
300358,0.99957776
300359,0.9943428
300360,1.0021409
300361,0.9969274
300362,0.9977142
300363,0.9966058
300364,0.99848896
300365,1.0022728
300366,0.99868166
300367,1.0035702
300368,0.99643415
300369,0.9964565
300370,0.99956125
300371,0.99906117
300372,0.9958055
300373,1.0011988
300374,0.9989839
300375,0.99865925
300376,1.0054736
300377,1.0008311
300378,0.9953767
300379,0.9987821
300380,0.99593014
300381,0.99866736
300382,0.9962433
300383,1.0005269
300384,0.9943956
300385,0.998758
300386,0.99838036
300387,1.0009903
300388,1.0014726
300389,0.9924144
300390,1.0039375
300391,1.0057276
300392,1.0617229
300393,1.0448005
300394,1.0328399
300395,1.023298
300396,1.0265223
300397,1.02012
300398,1.0267696
300399,1.0127834
300400,1.017248
300401,1.0099193
300402,1.0126057
300403,1.0079255
300404,1.0163406
300405,1.0048882
300406,1.0142733
300407,1.009654
300408,1.0033867
300409,1.0021968
300410,1.0029523
300411,1.0054591
300412,1.0054009
300413,1.0049472
300414,1.005818
300415,1.0061542
300416,1.0015801
300417,1.0006257
300418,1.0026823
300419,1.0035332
300420,1.0065104
300421,1.0018224
300422,0.9951962
300423,0.9999109
300424,1.0007217
300425,1.0031028
300426,1.0041709
300427,1.0023122
300428,1.0035515
300429,0.99974483
300430,1.0031453
300431,1.0045004
300432,0.99918944
300433,1.0054004
300434,0.9997569
300435,0.99868995
300436,1.0025728
300437,0.99838674
300438,0.99905986
300439,1.0025945
300440,1.0034933
300441,0.9973021
300442,0.9974807
300443,0.99296993
300444,0.9984115
300445,0.9964853
300446,0.99568486
300447,1.0015715
300448,0.99653405
300449,0.9994012
300450,1.001831
300451,0.9984523
300452,1.0007107
300453,0.99783874
300454,0.9984513
300455,0.99776524
300456,1.0009264
300457,0.99933356
300458,1.0023167
300459,0.9975997
300460,0.9945322
300461,1.0041636
300462,1.0034492
300463,1.0006733
300464,1.0017046
300465,1.0028374
300466,1.0020863
300467,0.9965183
300468,1.0034676
300469,1.0093538
300470,1.0040582
300471,1.0000274
300472,1.0022767
300473,1.0041887
300474,1.0007449
300475,1.001728
300476,1.0029289
300477,1.0011648
300478,0.99653524
300479,0.9953753
300480,0.9986814
300481,0.9923566
