c,f
287544,1.0010259
287545,1.0001446
287546,0.99994653
287547,1.0005023
287548,0.99958265
287549,0.99984235
287550,0.99823385
287551,0.99910027
287552,0.99821424
287553,1.0010377
287554,1.0012107
287555,0.9999902
287556,1.017749
287557,1.0097524
287558,1.0077306
287559,1.0062968
287560,1.0050637
287561,1.0051918
287562,1.0051923
287563,1.0044761
287564,1.0047971
287565,1.0042781
287566,1.0032837
287567,1.0029944
287568,1.0017405
287569,1.0034827
287570,1.0028123
287571,1.0018715
287572,1.0029627
287573,1.0019019
287574,1.0020295
287575,1.0011327
287576,1.0032692
287577,1.0019388
287578,1.0020733
287579,1.0005554
287580,1.0020413
287581,1.0020938
287582,1.0017385
287583,1.0012543
287584,1.00244
287585,1.0013003
287586,1.0005774
287587,1.0015256
287588,1.0009911
287589,1.0019734
287590,1.0010687
287591,1.0006505
287592,1.0009096
