c,f
287765,0.9598085
287766,0.8730311
287767,0.9307636
287768,1.1266711
287769,0.9306436
287770,0.95501715
287771,0.9504298
287772,1.1364684
287773,1.092448
287774,1.0405669
287775,1.2314138
287776,1.3186839
287777,1.6346229
287778,1.5659609
287779,1.7465171
287780,1.762096
287781,1.7252171
287782,1.5596904
287783,1.5763161
287784,1.2660034
287785,1.3927996
287786,1.3147844
287787,1.2589684
287788,1.2925333
287789,1.3555721
287790,1.2761855
287791,1.3210201
287792,1.1450756
287793,1.257892
287794,1.1658242
287795,1.2698212
287796,1.3027425
287797,1.2276963
287798,1.2962903
287799,1.1202986
287800,1.1980425
287801,1.312813
287802,1.2978458
287803,1.3333387
287804,1.062867
287805,1.0947134
287806,1.291199
287807,1.3311753
287808,1.3064532
287809,1.1991023
287810,1.1744255
287811,1.3423164
287812,1.295749
287813,1.315564
287814,1.2071867
287815,1.1898246
287816,1.0818856
287817,1.0777469
287819,1.1906842
287820,1.1800156
287821,1.1721305
287822,1.1989183
287823,1.1740693
287824,1.271517
287825,1.1522259
287826,1.2782437
287827,1.1303614
287828,1.1663921
287829,1.1857376
287830,1.1047125
287831,1.1196907
287832,1.0872204
287833,1.1703682
287834,1.2276584
287835,1.0996822
287836,1.1240017
287837,1.2206959
287838,1.0491271
287839,1.0759397
287840,1.0830294
287841,1.0520214
287842,1.0718931
287843,1.1007725
287844,1.1273041
