Campaign,TIC,ampl_rec,cstart,cstop,ed_rec,ed_rec_err,istart,istop,total_n_valid_data_points,tstart,tstop
1,29780677,,,,,,,,,,
1,142052876,0.011507868766784668,70477.0,70481.0,4.719677328772066,0.40266111457246456,32.0,36.0,,1325.3409697787772,1325.3465252561846
1,142052876,0.015208482742309569,74161.0,74165.0,5.86595131998083,0.4085905892228608,3579.0,3583.0,,1330.4575779634656,1330.4631334610092
1,142052876,0.0223543643951416,76823.0,76831.0,13.05703943366631,0.5512640488356454,6163.0,6171.0,,1334.1547551608842,1334.1658660919668
1,142052876,0.0151747465133667,77661.0,77684.0,35.20781103072163,1.9475700231898088,6968.0,6975.0,,1335.3186248066502,1335.3505687108752
1,142052876,0.0925055742263794,77718.0,77733.0,45.557298468298036,0.6252320251847883,7009.0,7023.0,,1335.3977901332096,1335.4186231131641
1,142052876,0.015404105186462402,78410.0,78413.0,4.446623115299071,0.3358094288276565,7697.0,7700.0,,1336.358884590056,1336.3630511827876
1,142052876,0.01055145263671875,79157.0,79164.0,8.147974019856855,0.5327553452683528,8437.0,8444.0,,1337.3963681710713,1337.4060902340034
1,167894019,0.25126421451568604,74599.0,74609.0,86.03016781628153,1.3129480142468668,4017.0,4027.0,,1331.0643664847944,1331.078255338203
1,220429097,0.2034108638763428,76760.0,76764.0,60.24895583141613,2.7502590348121947,6100.0,6104.0,,1334.0666512816688,1334.072206925965
1,220429097,0.06170594692230225,77383.0,77388.0,34.28660373071834,3.2536818657384083,6716.0,6721.0,,1334.9319427120336,1334.938887264609
1,234307350,,,,,,,,,,
1,259901346,,,,,,,,,,
1,280801342,,,,,,,,,,
1,303978478,,,,,,,,,,
1,358108509,0.14402306079864502,71679.0,71690.0,138.8236551556596,6.209565763151343,1229.0,1240.0,,1327.0112032152401,1327.0264809660596
1,389051009,0.23801493644714355,75376.0,75394.0,178.75377520877743,3.4556860389879196,4765.0,4783.0,,1332.1482598835735,1332.1732598403378
1,401984769,,,,,,,,,,
2,7150628,,,,,,,,,,
2,29780677,,,,,,,,,,
2,34014829,,,,,,,,,,
2,77041175,,,,,,,,,,
2,142052876,0.04141926765441895,93517.0,93529.0,25.75491807307576,0.6151431620194633,2294.0,2306.0,,1357.3404832488204,1357.3571496494953
2,142052876,0.06036460399627685,96203.0,96220.0,47.77020591363778,0.7883453916351765,4945.0,4961.0,,1361.0709782750855,1361.0945889932825
2,142052876,0.21092450618743894,96696.0,96712.0,92.3439246786982,0.5280215136285267,5405.0,5421.0,,1361.7556890342114,1361.7779108819047
2,142052876,0.24111926555633545,98561.0,98582.0,135.64635998878222,0.6718380031462735,7238.0,7259.0,,1364.3459217939994,1364.3750879340698
2,167894019,0.28657376766204834,92802.0,92830.0,174.4886240655016,1.9461220516912048,1594.0,1622.0,,1356.3462388876478,1356.3851278942434
2,167894019,0.08596193790435791,99466.0,99473.0,38.90575500784791,1.4993322126128388,8137.0,8144.0,,1365.6018188786431,1365.6115411094247
2,180724005,0.88291335105896,99179.0,99189.0,382.4837383598037,3.9460308414590863,7854.0,7864.0,,1365.2083565347145,1365.222245687022
2,220429097,,,,,,,,,,
2,234307350,,,,,,,,,,
2,259901346,,,,,,,,,,
2,270218775,,,,,,,,,,
2,281668854,,,,,,,,,,
2,303978478,,,,,,,,,,
2,304392811,,,,,,,,,,
2,340703996,0.0130995512008667,91276.0,91279.0,4.2513592468278585,0.4731631506515554,84.0,87.0,,1354.2324310588215,1354.236597873479
2,340703996,0.0291670560836792,94166.0,94173.0,14.629978394151433,0.6851677293296758,2936.0,2943.0,,1358.2464421671975,1358.2561646519976
2,340703996,0.5085262060165405,97099.0,97115.0,131.83711516666634,0.610936413579567,5808.0,5824.0,,1362.3201520571995,1362.3423747605893
2,340703996,0.07793498039245605,100436.0,100439.0,16.673527304133273,0.43916633743567696,9080.0,9083.0,,1366.9549651899154,1366.9591319356539
2,358108509,,,,,,,,,,
2,401984769,,,,,,,,,,
3,29780677,0.07803833484649657,115055.0,115058.0,20.251109820030244,1.4003784154068797,936.0,939.0,,1387.254873205248,1387.2590398341638
3,29928567,0.010848164558410645,114310.0,114317.0,3.6545277352462975,0.12016469097849787,195.0,202.0,,1386.224384280053,1386.2341066926786
3,29928567,0.01206827163696289,114429.0,114438.0,5.405291512764668,0.13528673489079235,313.0,322.0,,1386.3896652657822,1386.4021655062588
3,29928567,0.0038237571716308594,115105.0,115108.0,1.0504428910662362,0.09078731133058678,984.0,987.0,,1387.3285714041174,1387.3327381433373
3,29928567,0.05786550045013428,115182.0,115190.0,16.46880609429471,0.108822311881585,1059.0,1067.0,,1387.4355177115415,1387.4466290150415
3,29928567,0.003449201583862305,115532.0,115535.0,1.0896815053741111,0.09223099009031628,1394.0,1397.0,,1387.921637037936,1387.9258037734307
3,29928567,0.009839773178100586,115689.0,115698.0,3.613344290390652,0.13253440623223764,1550.0,1559.0,,1388.1396961461373,1388.152196347499
3,29928567,0.02288675308227539,115775.0,115779.0,5.0365960834048185,0.08598380183190636,1636.0,1640.0,,1388.2591425021878,1388.264698146255
3,29928567,0.02636444568634033,115917.0,115921.0,4.75211839674928,0.07787691259314121,1778.0,1782.0,,1388.4563678281424,1388.4619234698807
3,29928567,0.05882930755615234,116127.0,116147.0,26.237305164119235,0.15692202190485527,1986.0,2006.0,,1388.7480389658624,1388.775817161982
3,29928567,0.02105700969696045,116247.0,116251.0,4.2271955375116725,0.08410993797992122,2105.0,2109.0,,1388.914708123955,1388.9202637619671
3,29928567,0.002864241600036621,116384.0,116388.0,1.1650683617874584,0.10564740525170184,2242.0,2246.0,,1389.1049886909827,1389.1105443271335
3,29928567,0.005009651184082031,116640.0,116643.0,1.1212219985682594,0.0862741866466674,2492.0,2495.0,,1389.4605493017093,1389.4647160264942
