,ampl_rec,cstart,cstop,ed_rec,ed_rec_err,istart,istop,total_n_valid_data_points,tstart,tstop,dur,ed_ratio,ed_ratio_count,amplitude_ratio,amplitude_ratio_count,duration_ratio,duration_ratio_count,amplitude_corr,duration_corr,ed_corr,recovery_probability,recovery_probability_count,ed_ratio_std,amplitude_ratio_std,duration_ratio_std,recovery_probability_std,ed_corr_err,amplitude_corr_err,duration_corr_err,TIC,sector,energy,st,real,complex
231,0.762096285820007,287775,287814,1552.75364913753,35.0084592187897,1315,1354,18704,1627.14517548597,1627.1993420523,0.054166566332242,0.395950719737627,41,0.934889136892971,41,0.637607423160168,41,0.815172896705991,0.084952847731566,3921.58309540754,0.96,25,0.035056398610977,0.053710660891582,0.073609130170211,0.2,141.86402755631,0.046832798986728,0.009807453614655,454291779,12,2.25571E+034,7,1,0
30,0.039327144622803,304897,304901,11.9847149636915,0.613684129506845,17435,17439,18704,1650.9253772247,1650.93093267615,0.005555451445161,0.540183505193959,24,0.87135533853942,24,0.926078981038633,24,0.045133303123756,0.005998895946144,22.1863771263957,0.580645161290323,31,0.10619365022041,0.133232968213078,0.401893727009382,0.501610310127101,2.43466445150976,0.006901023812533,0.002603361807254,449671564,12,6.354972E+032,6,1,0
29,0.024531364440918,293443,293446,7.36709905364972,0.638922461910506,6848,6851,18704,1635.01726931272,1635.02143594339,0.004166630667442,0.25026102649916,93,0.957591772843137,93,0.280365421254914,93,0.025617768590558,0.014861428519936,29.4376601770809,0.791666666666667,24,0.177880197838114,0.190394495744055,0.497066954982745,0.414851116999053,5.27521223018271,0.005093487925868,0.026348202956104,449671564,12,,,,0
230,0.098975419998169,132482,132485,32.2454716384082,3.32173060487197,237,240,14058,1411.46298093404,1411.46714770772,0.00416677367889,0.095065793534357,63,1.00299175683872,63,0.08425212431079,63,0.098680192856345,0.0494560073467,339.191105860329,0.6875,32,0.104696365670462,0.130370800978698,0.133407522713678,0.470929074859885,35.6670918310729,0.012826641590717,0.078310232263043,441519239,4,,,,0
69,0.073255062103272,271992,271995,24.7675765901267,2.78862432349342,3527,3530,13204,1605.22768599852,1605.23185274723,0.004166748714852,0.252702987591968,55,0.977949142361009,55,0.272971069541054,55,0.074906821766228,0.015264433413611,98.0106203972474,0.171428571428571,35,0.134608540425159,0.13229559062923,0.178097819009723,0.382385260431097,13.4845626854236,0.01013328996209,0.009959159056504,441000085,11,1.7086753E+031,7,-1,0
68,0.999455213546753,270340,270351,327.623519129059,6.90597586490823,1898,1909,13204,1602.93319285326,1602.94847097705,0.015278123788448,0.787447288802591,20,0.851677657410246,20,2.17422500979552,20,1.17351348230252,0.007026928546777,416.057714323013,0.86046511627907,43,0.070150746732275,0.107760707879362,0.528685041381961,0.350604603563426,29.9926561614853,0.1484818140509,0.001708669522613,441000085,11,2.0024259E+032,7,1,0
137,0.035142540931702,143992,143995,8.06918711557676,0.484947726312035,7600,7603,14058,1427.44992703304,1427.45409363396,0.004166600919234,0.391626775188801,65,0.889452833715531,65,0.529672989082318,65,0.039510291720473,0.007866364729024,20.6042784273028,0.654545454545455,55,0.133806954465613,0.158245620947074,0.334399966048687,0.479898979268586,2.79932131720561,0.007029412252236,0.004966294586533,420001446,4,7.0202222E+031,6,1,0
140,0.038143038749695,147741,147744,9.81702156879265,0.646323586164923,11322,11325,14058,1432.65675870478,1432.6609252596,0.004166554818312,0.391626775188801,65,0.889452833715531,65,0.529672989082318,65,0.042883711540228,0.007866277692451,25.067289038294,0.654545454545455,55,0.133806954465613,0.158245620947074,0.334399966048687,0.479898979268586,3.41588078977967,0.007629589005693,0.004966239637484,420001446,4,8.0306861E+031,6,1,0
138,0.060342788696289,144464,144468,13.3924015258629,0.598127602382219,8058,8062,14058,1428.10547167225,1428.11102713099,0.005555458734307,0.689153555899153,19,0.777058505265049,19,1.47780601469188,19,0.077655399545117,0.00375926114732,19.4331167723419,0.641025641025641,39,0.108842864924966,0.158423064924426,0.517080561567763,0.485970514980589,2.19809962756346,0.015832020781591,0.00131535590315,420001446,4,9.281354E+031,6,1,0
139,0.044820308685303,145198,145203,12.8346389628242,0.695095321761392,8792,8797,14058,1429.12489710888,1429.13184141611,0.006944307237518,0.542955790338691,54,0.868355114199333,54,0.873470552000183,54,0.051615183641349,0.007950247689079,23.638460425697,0.710526315789474,38,0.110415324777102,0.160226945921901,0.399372903090005,0.45960586739381,2.70102009564266,0.009523918386404,0.003635055002829,420001446,4,,,,0
341,0.340427994728088,169356,169360,75.8274256259057,2.95105733415321,15854,15858,16349,1462.67719540152,1462.68275071311,0.005555311586932,0.669448873272497,38,0.822203558077949,38,1.34198431362889,38,0.414043446277344,0.004139624830568,113.26843416023,0.815384615384615,65,0.10926932368512,0.17132688774529,0.690156457695078,0.391004623226651,12.7237202144461,0.086276414575314,0.0021289286173,416744592,5,3.7873912E+032,7,1,0
340,0.380734920501709,163838,163935,2962.93496360781,19.8269216149906,10350,10447,16349,1455.01358621972,1455.14830464503,0.134718425313167,13.1981811321209,4,2.45677305049708,4,5.64969428873366,4,0.154973582287007,0.023845259305767,224.495703911564,0.946428571428571,56,38.2184857230114,1.46586422377031,39.7911467144223,0.227207782928703,8579.90876341859,0.092466917063456,0.167943637830341,416744592,5,8.1726282E+033,7,-1,0
339,0.07686448097229,154800,154819,117.589928530797,2.26721828795583,2739,2758,16349,1442.46103444758,1442.4874231335,0.026388685920665,0.272648212105855,13,1.03021902543414,13,0.361922257873832,13,0.074609844192985,0.072912580938485,431.288096931087,0.607142857142857,56,0.08007588660323,0.153528769131846,0.11955298607108,0.492805380304581,34.6101163537453,0.011118759468882,0.024085053029217,416744592,5,,,,0
170,0.295362830162048,215616,215621,73.569916495716,3.61021069444611,6188,6193,12039,1526.9268592385,1526.93380383137,0.006944592869786,0.544243364456208,44,0.823659718049684,44,0.904891036278102,44,0.358598124552489,0.007674507306813,135.178343550821,0.477272727272727,44,0.167245533169573,0.195068554373812,0.820702018548832,0.505257768136381,22.8944123309463,0.0849273264489,0.006960488484863,415678624,8,1.3675838E+032,6,1,0
172,0.486143589019775,225542,225547,200.668045681111,5.4411890838307,11257,11262,12039,1540.7131398445,1540.72008428603,0.00694444152964,0.692481766877879,20,0.817296140922046,20,1.54568349916454,20,0.594819386362604,0.004492796574068,289.7809809287,0.771428571428571,35,0.082200065011137,0.144981744807161,0.528840538087145,0.426042961498036,24.4335768093909,0.105516162578088,0.001537166540906,415678624,8,3.8351434E+032,6,1,0
171,0.224408388137817,222990,223001,203.100380463234,8.50418508431432,8714,8725,12039,1537.16867977121,1537.18395767901,0.015277907803011,0.358309627044904,67,0.971330092368512,67,0.500808015712235,67,0.231032055838623,0.030506516117325,566.829259203189,0.976190476190476,42,0.103571531023855,0.10260178395101,0.230804273248275,0.154303349962092,59.3201226395371,0.02440396036852,0.014059348215069,415678624,8,3.9971142E+032,6,1,0
173,0.072904944419861,225556,225559,18.5579746585033,1.52296761463369,11271,11274,12039,1540.73258428078,1540.7367509457,0.004166664918557,,,,,,,,,,,,,,,,,,,415678624,8,,,,0
259,0.046878814697266,198416,198419,15.5577277755191,0.507751749230153,8036,8039,16063,1503.03508538795,1503.03925204695,0.004166658993654,0.133847611880669,2,0.892522708344274,2,0.141084050440423,2,0.052523946179735,0.029533168211764,116.234630987586,0,30,0.112734477217112,0.310679569706157,0.076151489200769,0,13.113484074318,0.018283139292513,0.015940814947699,410898932,7,,,,0
224,0.074574947357178,134583,134586,22.3692431431228,2.3720199192956,2301,2304,14656,1414.38060687993,1414.38477362753,0.004166747602085,0.103862730590015,24,0.928543209943175,24,0.101568688247739,24,0.080313922452507,0.041023938321637,215.373146999405,0.066666666666667,45,0.287152717868231,0.27030323691438,0.930427571188123,0.252262489554756,61.8904563593614,0.023379755487665,0.375802857668799,406479664,4,2.2998004E+031,6,-1,0
225,0.195911288261414,140496,140499,49.8795004850853,3.79434067485207,5920,5923,14656,1422.59320539581,1422.59737208753,0.00416669172273,0.453750724985907,38,0.84176203935975,38,0.667187843331349,38,0.232739514376801,0.00624515534025,109.927098158652,0.363636363636364,55,0.220460329731053,0.228843183501439,0.345685732406933,0.485479387502946,24.5298008202173,0.063273049752964,0.003235762041181,406479664,4,5.1218807E+031,6,1,0
227,0.133281469345093,140692,140699,92.3096440318456,5.28925336737608,6116,6123,14656,1422.86542926315,1422.87515154539,0.009722282240091,0.242343233674484,195,0.996866657464618,195,0.281886141621811,195,0.133700398490681,0.034490103643104,380.904565117078,0.977777777777778,45,0.458868540045938,0.757082089526126,0.492540832360162,0.149071198499986,174.865133649075,0.101540337719033,0.060264702119886,406479664,4,,,,0
226,0.121825218200684,140667,140672,57.6708940681951,4.42685548654111,6091,6096,14656,1422.8307068273,1422.83765131429,0.00694448698232,0.177642509279287,139,1.01020294114796,139,0.177152892227417,139,0.120594796588342,0.03920052839671,324.645797349809,0.744186046511628,43,0.38269100428923,0.574296024664523,0.432457934571305,0.441481448448827,124.317869540555,0.068557622884379,0.09569462474698,406479664,4,,,,0
156,0.297483921051025,248381,248399,322.287650047715,5.14731985836653,790,808,14766,1572.4344278991,1572.45942843789,0.025000538794302,0.667212526131618,35,0.898046894024751,35,1.48163320723838,35,0.331256555788306,0.016873635574692,483.03597043701,1,29,0.067504270036231,0.069933758838685,0.326330477340163,0,33.0107669825054,0.025795998227231,0.003716426929858,398985964,10,,,,0
271,0.342691421508789,159302,159311,100.799193249976,1.25722722764229,7225,7234,16349,1448.71374425024,1448.72624414567,0.012499895425663,0.888993696443238,5,0.560550551589404,5,3.40949718885104,5,0.611347933807416,0.0036661990708,113.385723265825,0.846153846153846,39,0.030644755959439,0.098780574097724,0.633216432919355,0.365517768195196,3.69513277787788,0.10773212104372,0.0006808914539,396862832,5,             NaN,6,1,0
272,0.330137252807617,168629,168638,105.422841087651,1.22744414263501,15127,15136,16349,1461.66770790779,1461.68020753406,0.012499626274121,0.888993696443238,5,0.560550551589404,5,3.40949718885104,5,0.588951793681293,0.003666120129089,118.586713842219,0.911764705882353,34,0.030644755959439,0.098780574097724,0.633216432919355,0.287902241281237,3.83575517855607,0.103785459011262,0.000680876792739,396862832,5,             NaN,6,1,0
75,0.03032386302948,304178,304181,7.75346846346363,0.608051139728141,16716,16719,18704,1649.92699379126,1649.93116040982,0.004166618560248,0.456515585519792,39,0.898590597265709,39,0.654196397712389,39,0.033746027525496,0.006369063747245,16.984016996124,0.59375,64,0.185164307915135,0.149408397696305,0.727823209297946,0.495014830625995,3.20307750775481,0.005610942198307,0.007085872733253,395130640,12,1.2788432E+032,6,1,0
74,0.057376265525818,302191,302195,15.8910294288789,0.613122880705377,14736,14740,18704,1647.1673004205,1647.1728559234,0.005555502901188,0.456515585519792,39,0.898590597265709,39,0.654196397712389,39,0.063851397622462,0.008492102556075,34.8093908136462,0.59375,64,0.185164307915135,0.149408397696305,0.727823209297946,0.495014830625995,6.47455268712978,0.010616553343058,0.009447849847023,395130640,12,3.0122459E+032,6,1,0
72,0.068631649017334,291475,291480,20.1514794658011,0.943894446804085,4891,4896,18704,1632.2840502998,1632.29099474665,0.006944446846319,0.456515585519792,39,0.898590597265709,39,0.654196397712389,39,0.076376994402313,0.01061523247545,44.1419309766972,0.59375,64,0.185164307915135,0.149408397696305,0.727823209297946,0.495014830625995,8.22783106721842,0.012699180682763,0.011809928325412,395130640,12,3.8820866E+032,6,1,0
71,0.094317674636841,287172,287178,29.9337511661245,0.83050069390376,712,718,18704,1626.30764919022,1626.31598254702,0.008333356796811,0.456515585519792,39,0.898590597265709,39,0.654196397712389,39,0.104961786740076,0.012738310430861,65.5700530619161,0.59375,64,0.185164307915135,0.149408397696305,0.727823209297946,0.495014830625995,12.1696048492453,0.017451965805,0.01417194899153,395130640,12,5.6304676E+032,6,1,0
233,0.201253175735474,271858,271864,53.4724461363716,0.5828155195113,3393,3399,13204,1605.0379946404,1605.04632812292,0.008333482527178,0.883460770887478,8,0.721334488047974,8,3.29166831356458,8,0.27900118332078,0.002531689627669,60.5261126452236,0.926470588235294,68,0.058980139647685,0.138438956740477,1.03652960744471,0.262944093177546,3.61710124126063,0.053546077982228,0.000797216185217,395130640,11,9.9945579E+032,6,1,0
237,0.116366028785706,284000,284010,53.9681101623878,0.730886454471849,11919,11929,13204,1621.9020808574,1621.91596983608,0.013888978676278,0.819771020430057,23,0.810320535233678,23,2.50630595995274,23,0.143604936227055,0.005541613393657,65.8331519624539,0.846153846153846,39,0.102427729046086,0.192109010650973,0.96088614989534,0.365517768195196,6.78263484644359,0.034045542502783,0.002124584804539,395130640,11,1.0591785E+033,6,1,0
235,0.051644325256348,279143,279163,70.5961822720993,1.5715944385175,7076,7096,13204,1615.15618480127,1615.18396289902,0.027778097749661,0.412609336218695,59,0.961594339546906,59,0.613110797315503,59,0.05370697718612,0.045306815458619,171.096909534498,0.976744186046512,43,0.113716153691103,0.167029986340871,0.189604663655297,0.152498570332605,19.5198519160013,0.009328960557353,0.014011143734439,395130640,11,1.3517153E+033,6,1,1
76,0.516678929328918,304817,304833,264.939650026441,1.13743512790498,17355,17371,18704,1650.81448316367,1650.83670510961,0.022221945946967,0.937600774854036,6,0.860655041401458,6,4.42502598485198,6,0.600332194054865,0.005021879198685,282.571918808073,0.932203389830508,59,0.045745287222642,0.17461116551252,0.917366431279359,0.253554508841448,12.9762806177557,0.121796421395401,0.001041101999081,395130640,12,5.0305545E+033,6,1,0
236,0.050926327705383,279173,279176,11.2201023415675,0.590189091016745,7106,7109,13204,1615.19785194778,1615.20201866227,0.004166714488747,0.31016366842666,55,0.936961307566163,55,0.405783206736563,55,0.054352647536395,0.010268326583195,36.174779588089,0.818181818181818,44,0.168755582463034,0.164377701225101,0.690721893723041,0.390153653257413,6.13315876313827,0.009535466603993,0.017478687794774,395130640,11,,,,0
234,0.029012560844421,274069,274074,13.6701583641312,0.819850565535793,5594,5599,13204,1608.10887894352,1608.11582349211,0.006944548594674,0.31016366842666,55,0.936961307566163,55,0.405783206736563,55,0.030964523945801,0.017113937884529,44.0740156107728,0.377777777777778,45,0.168755582463034,0.164377701225101,0.690721893723041,0.4903101471559,7.48278520150187,0.005432323858668,0.029131248874807,395130640,11,,,,0
238,0.022053360939026,284449,284452,5.45863422926383,0.419217979706858,12368,12371,13204,1622.52569576274,1622.52986245324,0.004166690506736,0.31016366842666,55,0.936961307566163,55,0.405783206736563,55,0.023537109548644,0.010268267482644,17.5992057901345,0.377777777777778,45,0.168755582463034,0.164377701225101,0.690721893723041,0.4903101471559,2.99940514208318,0.004129280398077,0.017478587194149,395130640,11,,,,0
